,from,to
192,3966840,5471581
193,3966840,6418092
194,3966840,7317438
195,3966840,4356468
196,8061344,1446683
197,8061344,1570785
198,8061344,9659856
199,8061344,7358008
200,8061344,9444027
201,8061344,5262646
202,8061344,3747072
203,8061344,6620713
204,8061344,6859693
205,8061344,4747658
206,8061344,6480234
207,8061344,4445414
208,8061344,1936377
209,8061344,4865283
210,8061344,9326722
211,8061344,6128774
212,8061344,1289636
213,8061344,1825969
214,8061344,1545110
215,8061344,6573559
216,8061344,3335969
217,8061344,2625914
218,8061344,1335895
219,8061344,2069265
220,8061344,9733001
221,8061344,4303195
222,8061344,7891838
223,8061344,2920966
224,8061344,9612606
225,3778558,1446683
226,3778558,7193726
227,3778558,3393729
228,3778558,6300454
229,3778558,3322514
230,3778558,8847502
231,3778558,9085992
232,3778558,3544111
233,3778558,6017591
234,3778558,5743434
235,8124178,3823531
236,8124178,6260400
237,8124178,4865283
238,8124178,9326722
239,8124178,4214419
240,8124178,1289636
241,8124178,1545110
242,8124178,6062599
243,8124178,2706382
244,8124178,1385403
245,8124178,2625914
246,8124178,5403487
247,8124178,6463952
248,8124178,2069265
249,8124178,5965396
250,8124178,1353420
251,8124178,8268517
252,8124178,9031847
253,8124178,6418092
254,8124178,9612606
255,8124178,4356468
256,9608080,5876745
257,9608080,6300454
258,9608080,7358008
259,9608080,3747072
260,9608080,2116985
261,9608080,4747658
262,9608080,1301156
263,9608080,1936377
264,9608080,3322514
265,9608080,4865283
266,9608080,9085992
267,9608080,5582610
268,9608080,1825969
269,9608080,1256084
270,9608080,4741497
271,9608080,6299956
272,9608080,1335895
273,9608080,2045224
274,9608080,7891838
275,9608080,9981895
276,9608080,5471581
277,9608080,2920966
278,9608080,7317438
279,1160120,3393729
280,1160120,7358008
281,1160120,3747072
282,1160120,6544671
283,1160120,3823531
284,1160120,4747658
285,1160120,1301156
286,1160120,6260400
287,1160120,4865283
288,1160120,9326722
289,1160120,9085992
290,1160120,1825969
291,1160120,1256084
292,1160120,3335969
293,1160120,1385403
294,1160120,6299956
295,1160120,2625914
296,1160120,1335895
297,1160120,6463952
298,1160120,2069265
299,1160120,4303195
300,1160120,5132688
301,1160120,1353420
302,1160120,2066437
303,1160120,3223948
304,1160120,2920966
305,1160120,6017591
306,1160120,9612606
307,3871737,5876745
308,3871737,3393729
309,3871737,7635375
310,3871737,6300454
311,3871737,2157609
312,3871737,9444027
313,3871737,3747072
314,3871737,6544671
315,3871737,6859693
316,3871737,1301156
317,3871737,8584084
318,3871737,8847502
319,3871737,4214419
320,3871737,1289636
321,3871737,5460402
322,3871737,1545110
323,3871737,6573559
324,3871737,6062599
325,3871737,2706382
326,3871737,1385403
327,3871737,5403487
328,3871737,6463952
329,3871737,5053937
330,3871737,9733001
331,3871737,5132688
332,3871737,1353420
333,3871737,6677164
334,3871737,3223948
335,3871737,2920966
336,3871737,5815978
337,3871737,9612606
338,6925197,1446683
339,6925197,3393729
340,6925197,5262646
341,6925197,6544671
342,6925197,6859693
343,6925197,1396671
344,6925197,1301156
345,6925197,1936377
346,6925197,8584084
347,6925197,8847502
348,6925197,3871556
349,6925197,9085992
350,6925197,1289636
351,6925197,5582610
352,6925197,5460402
353,6925197,1825969
354,6925197,6573559
355,6925197,1256084
356,6925197,6062599
357,6925197,1427353
358,6925197,1385403
359,6925197,6299956
360,6925197,5403487
361,6925197,4303195
362,6925197,7891838
363,6925197,6418092
364,6925197,2920966
365,6925197,5743434
366,8086758,3393729
367,8086758,7635375
368,8086758,9659856
369,8086758,7358008
370,8086758,6544671
371,8086758,3823531
372,8086758,9085992
373,8086758,4214419
374,8086758,5582610
375,8086758,1825969
376,8086758,2706382
377,8086758,4741497
378,8086758,2625914
379,8086758,5403487
380,8086758,6463952
381,8086758,2069265
382,8086758,9733001
383,8086758,4303195
384,8086758,5965396
385,8086758,9031847
386,8086758,3223948
387,8086758,5471581
388,8086758,5815978
389,8086758,6017591
390,8086758,5743434
391,8086758,4356468
392,5307236,7635375
393,5307236,9659856
394,5307236,3747072
395,5307236,6620713
396,5307236,6544671
397,5307236,2116985
398,5307236,3823531
399,5307236,4747658
400,5307236,1396671
401,5307236,1301156
402,5307236,4445414
403,5307236,8584084
404,5307236,3322514
405,5307236,8847502
406,5307236,9326722
407,5307236,6128774
408,5307236,9085992
409,5307236,1289636
410,5307236,5582610
411,5307236,1385403
412,5307236,6299956
413,5307236,3544111
414,5307236,1335895
415,5307236,5053937
416,5307236,5815978
417,2574762,3393729
418,2574762,2157609
419,2574762,6544671
420,2574762,4747658
421,2574762,4445414
422,2574762,1936377
423,2574762,3322514
424,2574762,9326722
425,2574762,3871556
426,2574762,1825969
427,2574762,6828173
428,2574762,6062599
429,2574762,1385403
430,2574762,2625914
431,2574762,1335895
432,2574762,2045224
433,2574762,4303195
434,2574762,5132688
435,2574762,6803121
436,2574762,9031847
437,2574762,6418092
438,2574762,6017591
439,2574762,5743434
440,2574762,4356468
441,2885315,3393729
442,2885315,9444027
443,2885315,3747072
444,2885315,2116985
445,2885315,4747658
446,2885315,1301156
447,2885315,1936377
448,2885315,6260400
449,2885315,8847502
450,2885315,6128774
451,2885315,4214419
452,2885315,6828173
453,2885315,1256084
454,2885315,1427353
455,2885315,6299956
456,2885315,3544111
457,2885315,1335895
458,2885315,9733001
459,2885315,4303195
460,2885315,1353420
461,2885315,9981895
462,2885315,3223948
463,2885315,5815978
464,2885315,9612606
465,5193158,1446683
466,5193158,5876745
467,5193158,1570785
468,5193158,2157609
469,5193158,9444027
470,5193158,3747072
471,5193158,3823531
472,5193158,1396671
473,5193158,8584084
474,5193158,8847502
475,5193158,3871556
476,5193158,4214419
477,5193158,5460402
478,5193158,1545110
479,5193158,6573559
480,5193158,6062599
481,5193158,4741497
482,5193158,6299956
483,5193158,3544111
484,5193158,6463952
485,5193158,2045224
486,5193158,5965396
487,5193158,1353420
488,5193158,6677164
489,5193158,2066437
490,5193158,9981895
491,5193158,3223948
492,5193158,6418092
493,5193158,6017591
494,5193158,7317438
495,8224781,3393729
496,8224781,9659856
497,8224781,7358008
498,8224781,9444027
499,8224781,5262646
500,8224781,3747072
501,8224781,6544671
502,8224781,2116985
503,8224781,6859693
504,8224781,3823531
505,8224781,4747658
506,8224781,4445414
507,8224781,3322514
508,8224781,3871556
509,8224781,9085992
510,8224781,5460402
511,8224781,1825969
512,8224781,6828173
513,8224781,6573559
514,8224781,3335969
515,8224781,2706382
516,8224781,1385403
517,8224781,6299956
518,8224781,2625914
519,8224781,6463952
520,8224781,2069265
521,8224781,5965396
522,8224781,6803121
523,8224781,1353420
524,8224781,6677164
525,8224781,2066437
526,8224781,8268517
527,8224781,9031847
528,8224781,3223948
529,8224781,5471581
530,8224781,2920966
531,8224781,6017591
532,8224781,7317438
533,8224781,9612606
534,4904257,1446683
535,4904257,5876745
536,4904257,3393729
537,4904257,1570785
538,4904257,9659856
539,4904257,6300454
540,4904257,9444027
541,4904257,2449597
542,4904257,6620713
543,4904257,6544671
544,4904257,6859693
545,4904257,4747658
546,4904257,1301156
547,4904257,6260400
548,4904257,8847502
549,4904257,6128774
550,4904257,1289636
551,4904257,5460402
552,4904257,6828173
553,4904257,3335969
554,4904257,6062599
555,4904257,1427353
556,4904257,2706382
557,4904257,1385403
558,4904257,2625914
559,4904257,1335895
560,4904257,2069265
561,4904257,5965396
562,4904257,1353420
563,4904257,8268517
564,4904257,9981895
565,4904257,3223948
566,4904257,6418092
567,4904257,2920966
568,4904257,5815978
569,4904257,5743434
570,3527195,5876745
571,3527195,3393729
572,3527195,9659856
573,3527195,6300454
574,3527195,5262646
575,3527195,2449597
576,3527195,3747072
577,3527195,6620713
578,3527195,6544671
579,3527195,6859693
580,3527195,6480234
581,3527195,1936377
582,3527195,8584084
583,3527195,6260400
584,3527195,4865283
585,3527195,8847502
586,3527195,6128774
587,3527195,5582610
588,3527195,1545110
589,3527195,1256084
590,3527195,3544111
591,3527195,5053937
592,3527195,4303195
593,3527195,5132688
594,3527195,1353420
595,3527195,2066437
596,3527195,5471581
597,3527195,5815978
598,3527195,6017591
599,3527195,7317438
600,3527195,4356468
601,5613477,5876745
602,5613477,1570785
603,5613477,5262646
604,5613477,3747072
605,5613477,2116985
606,5613477,3823531
607,5613477,1301156
608,5613477,1936377
609,5613477,8584084
610,5613477,6260400
611,5613477,4865283
612,5613477,9326722
613,5613477,4214419
614,5613477,1545110
615,5613477,6062599
616,5613477,1385403
617,5613477,6299956
618,5613477,1335895
619,5613477,4303195
620,5613477,6803121
621,5613477,8268517
622,5613477,5471581
623,5613477,2920966
624,5613477,4356468
625,2929381,1446683
626,2929381,7635375
627,2929381,7358008
628,2929381,5262646
629,2929381,3747072
630,2929381,6859693
631,2929381,1301156
632,2929381,3871556
633,2929381,4214419
634,2929381,1289636
635,2929381,1825969
636,2929381,6573559
637,2929381,1427353
638,2929381,1385403
639,2929381,5403487
640,2929381,1335895
641,2929381,5053937
642,2929381,7891838
643,2929381,1353420
644,2929381,2066437
645,2929381,9981895
646,2929381,3223948
647,2929381,5471581
648,2929381,6017591
649,2929381,9612606
650,7891923,3393729
651,7891923,7635375
652,7891923,7358008
653,7891923,5262646
654,7891923,3747072
655,7891923,6620713
656,7891923,3823531
657,7891923,6480234
658,7891923,6260400
659,7891923,4865283
660,7891923,3871556
661,7891923,5582610
662,7891923,6573559
663,7891923,1256084
664,7891923,1427353
665,7891923,3544111
666,7891923,6677164
667,7891923,2066437
668,7891923,9981895
669,7891923,3223948
670,7891923,6418092
671,7891923,7317438
672,7891923,4356468
673,7847399,3393729
674,7847399,7635375
675,7847399,9659856
676,7847399,2157609
677,7847399,9444027
678,7847399,2449597
679,7847399,3747072
680,7847399,6544671
681,7847399,6859693
682,7847399,4747658
683,7847399,4445414
684,7847399,1936377
685,7847399,6260400
686,7847399,8847502
687,7847399,9326722
688,7847399,4214419
689,7847399,5460402
690,7847399,1825969
691,7847399,1385403
692,7847399,1335895
693,7847399,5053937
694,7847399,5965396
695,7847399,7891838
696,7847399,1353420
697,7847399,2066437
698,7847399,9981895
699,7847399,5471581
700,7847399,6418092
701,7847399,6017591
702,7847399,4356468
703,5244632,3393729
704,5244632,9659856
705,5244632,7358008
706,5244632,2449597
707,5244632,2116985
708,5244632,3823531
709,5244632,4747658
710,5244632,1301156
711,5244632,1936377
712,5244632,8584084
713,5244632,3322514
714,5244632,9326722
715,5244632,6128774
716,5244632,4214419
717,5244632,5582610
718,5244632,1545110
719,5244632,6573559
720,5244632,3335969
721,5244632,6062599
722,5244632,2706382
723,5244632,1385403
724,5244632,6299956
725,5244632,5403487
726,5244632,3544111
727,5244632,1335895
728,5244632,6463952
729,5244632,5053937
730,5244632,2069265
731,5244632,4303195
732,5244632,5132688
733,5244632,6677164
734,5244632,8268517
735,5244632,9031847
736,5244632,3223948
737,5244632,2920966
738,5244632,6017591
739,5244632,5743434
740,5244632,9612606
741,5244632,4356468
742,3682520,5876745
743,3682520,1570785
744,3682520,7358008
745,3682520,5262646
746,3682520,6620713
747,3682520,6859693
748,3682520,3823531
749,3682520,1396671
750,3682520,1301156
751,3682520,4445414
752,3682520,6260400
753,3682520,8847502
754,3682520,6128774
755,3682520,1289636
756,3682520,5582610
757,3682520,1545110
758,3682520,6573559
759,3682520,3335969
760,3682520,6062599
761,3682520,4741497
762,3682520,2625914
763,3682520,6463952
764,3682520,2069265
765,3682520,5965396
766,3682520,7891838
767,3682520,1353420
768,3682520,2066437
769,3682520,9031847
770,3682520,3223948
771,3682520,2920966
772,3682520,5815978
773,3682520,6017591
774,3682520,7317438
775,3682520,9612606
776,7821698,5876745
777,7821698,9659856
778,7821698,6300454
779,7821698,3747072
780,7821698,6859693
781,7821698,1301156
782,7821698,1936377
783,7821698,3322514
784,7821698,6128774
785,7821698,5582610
786,7821698,1545110
787,7821698,3335969
788,7821698,2706382
789,7821698,4741497
790,7821698,5403487
791,7821698,3544111
792,7821698,6463952
793,7821698,9733001
794,7821698,7891838
795,7821698,2066437
796,7821698,8268517
797,7821698,9031847
798,7821698,6418092
799,7821698,5743434
800,6122032,1446683
801,6122032,3393729
802,6122032,9659856
803,6122032,2157609
804,6122032,7358008
805,6122032,2449597
806,6122032,6544671
807,6122032,6480234
808,6122032,6128774
809,6122032,1289636
810,6122032,6828173
811,6122032,1427353
812,6122032,2625914
813,6122032,6463952
814,6122032,2069265
815,6122032,5965396
816,6122032,5132688
817,6122032,6677164
818,6122032,2066437
819,6122032,8268517
820,6122032,6418092
821,6122032,6017591
822,6122032,7317438
823,6122032,4356468
824,6543996,5876745
825,6543996,3393729
826,6543996,6300454
827,6543996,7358008
828,6543996,9444027
829,6543996,2449597
830,6543996,6859693
831,6543996,4747658
832,6543996,4445414
833,6543996,6260400
834,6543996,4865283
835,6543996,3871556
836,6543996,9085992
837,6543996,5460402
838,6543996,1545110
839,6543996,6573559
840,6543996,1427353
841,6543996,5403487
842,6543996,1335895
843,6543996,2069265
844,6543996,4303195
845,6543996,9031847
846,6543996,6418092
847,6543996,9612606
848,3038514,1446683
849,3038514,7635375
850,3038514,9659856
851,3038514,2449597
852,3038514,3747072
853,3038514,6544671
854,3038514,6859693
855,3038514,3823531
856,3038514,4747658
857,3038514,1301156
858,3038514,4445414
859,3038514,6260400
860,3038514,3871556
861,3038514,9085992
862,3038514,1289636
863,3038514,6573559
864,3038514,3335969
865,3038514,6062599
866,3038514,4741497
867,3038514,3544111
868,3038514,6463952
869,3038514,2045224
870,3038514,4303195
871,3038514,5965396
872,3038514,6803121
873,3038514,6677164
874,3038514,8268517
875,3038514,9031847
876,3038514,5471581
877,3038514,2920966
878,3038514,6017591
879,3038514,7317438
880,3038514,9612606
881,3038514,4356468
882,9449623,3393729
883,9449623,2157609
884,9449623,3823531
885,9449623,6480234
886,9449623,8584084
887,9449623,8847502
888,9449623,9326722
889,9449623,5582610
890,9449623,1256084
891,9449623,6299956
892,9449623,3544111
893,9449623,6463952
894,9449623,5132688
895,9449623,1353420
896,9449623,5471581
897,9449623,6418092
898,9449623,6017591
899,9449623,5743434
900,9449623,4356468
901,9823165,1446683
902,9823165,3393729
903,9823165,7635375
904,9823165,7358008
905,9823165,5262646
906,9823165,3747072
907,9823165,6544671
908,9823165,6859693
909,9823165,1396671
910,9823165,4445414
911,9823165,1936377
912,9823165,8584084
913,9823165,6260400
914,9823165,3322514
915,9823165,8847502
916,9823165,9326722
917,9823165,6128774
918,9823165,9085992
919,9823165,1289636
920,9823165,1825969
921,9823165,6828173
922,9823165,6062599
923,9823165,2706382
924,9823165,1385403
925,9823165,2625914
926,9823165,5403487
927,9823165,1335895
928,9823165,6463952
929,9823165,2069265
930,9823165,4303195
931,9823165,5965396
932,9823165,7891838
933,9823165,1353420
934,9823165,6677164
935,9823165,3223948
936,9823165,6418092
937,9823165,5743434
938,1674675,3393729
939,1674675,6300454
940,1674675,5262646
941,1674675,6620713
942,1674675,6859693
943,1674675,1301156
944,1674675,8584084
945,1674675,4865283
946,1674675,6128774
947,1674675,1545110
948,1674675,6573559
949,1674675,3335969
950,1674675,6062599
951,1674675,4741497
952,1674675,6299956
953,1674675,5053937
954,1674675,2069265
955,1674675,9733001
956,1674675,7891838
957,1674675,2066437
958,1674675,3223948
959,1674675,5471581
960,1674675,6017591
961,1674675,9612606
962,3027975,5876745
963,3027975,7635375
964,3027975,2157609
965,3027975,9444027
966,3027975,2449597
967,3027975,6859693
968,3027975,3823531
969,3027975,6480234
970,3027975,1936377
971,3027975,3322514
972,3027975,4214419
973,3027975,5582610
974,3027975,1545110
975,3027975,1256084
976,3027975,1427353
977,3027975,6299956
978,3027975,3544111
979,3027975,1335895
980,3027975,9733001
981,3027975,1353420
982,3027975,2066437
983,3027975,8268517
984,3027975,9981895
985,3027975,3223948
986,3027975,5815978
987,3027975,5743434
988,3027975,4356468
989,2508478,1446683
990,2508478,5262646
991,2508478,3322514
992,2508478,8847502
993,2508478,9326722
994,2508478,4214419
995,2508478,6573559
996,2508478,1335895
997,2508478,8268517
998,2508478,9981895
999,2508478,3223948
1000,3273134,9659856
1001,3273134,9444027
1002,3273134,3747072
1003,3273134,2116985
1004,3273134,1396671
1005,3273134,4445414
1006,3273134,8847502
1007,3273134,1825969
1008,3273134,1427353
1009,3273134,4741497
1010,3273134,9733001
1011,3273134,7891838
1012,3273134,6677164
1013,3273134,9981895
1014,3273134,5471581
1015,3273134,2920966
1016,3273134,6017591
1017,5593631,3393729
1018,5593631,2449597
1019,5593631,3747072
1020,5593631,6260400
1021,5593631,4865283
1022,5593631,1289636
1023,5593631,1256084
1024,5593631,3335969
1025,5593631,1427353
1026,5593631,2706382
1027,5593631,3544111
1028,5593631,5053937
1029,5593631,9733001
1030,5593631,5132688
1031,5593631,1353420
1032,5593631,8268517
1033,5593631,6418092
1034,5593631,5815978
1035,5593631,6017591
1036,5593631,9612606
1037,7854778,5876745
1038,7854778,1570785
1039,7854778,9659856
1040,7854778,6300454
1041,7854778,7358008
1042,7854778,3747072
1043,7854778,2116985
1044,7854778,3823531
1045,7854778,1396671
1046,7854778,1936377
1047,7854778,6260400
1048,7854778,8847502
1049,7854778,9085992
1050,7854778,5582610
1051,7854778,1825969
1052,7854778,1256084
1053,7854778,6062599
1054,7854778,2706382
1055,7854778,6299956
1056,7854778,3544111
1057,7854778,5053937
1058,7854778,2045224
1059,7854778,4303195
1060,7854778,1353420
1061,7854778,9981895
1062,7854778,6418092
1063,7854778,5815978
1064,7854778,6017591
1065,7854778,5743434
1066,3554745,3393729
1067,3554745,9659856
1068,3554745,9444027
1069,3554745,3747072
1070,3554745,6544671
1071,3554745,4747658
1072,3554745,1301156
1073,3554745,6260400
1074,3554745,4865283
1075,3554745,9326722
1076,3554745,9085992
1077,3554745,5460402
1078,3554745,6573559
1079,3554745,3335969
1080,3554745,6062599
1081,3554745,4741497
1082,3554745,2625914
1083,3554745,6463952
1084,3554745,2069265
1085,3554745,4303195
1086,3554745,5132688
1087,3554745,1353420
1088,3554745,6677164
1089,3554745,8268517
1090,3554745,9031847
1091,3554745,6418092
1092,3554745,6017591
1093,3554745,5743434
1094,3554745,9612606
1095,9701493,7635375
1096,9701493,6300454
1097,9701493,9444027
1098,9701493,3747072
1099,9701493,6620713
1100,9701493,2116985
1101,9701493,4747658
1102,9701493,1396671
1103,9701493,3322514
1104,9701493,8847502
1105,9701493,6128774
1106,9701493,4214419
1107,9701493,5582610
1108,9701493,1825969
1109,9701493,3335969
1110,9701493,6062599
1111,9701493,1385403
1112,9701493,5403487
1113,9701493,5053937
1114,9701493,2069265
1115,9701493,7891838
1116,9701493,1353420
1117,9701493,2066437
1118,9701493,9031847
1119,9701493,6418092
1120,9701493,9612606
1121,8698264,5876745
1122,8698264,9659856
1123,8698264,6300454
1124,8698264,7358008
1125,8698264,3747072
1126,8698264,6544671
1127,8698264,6859693
1128,8698264,1301156
1129,8698264,6260400
1130,8698264,3871556
1131,8698264,5460402
1132,8698264,1256084
1133,8698264,3335969
1134,8698264,6062599
1135,8698264,2706382
1136,8698264,6299956
1137,8698264,5403487
1138,8698264,1335895
1139,8698264,5053937
1140,8698264,2069265
1141,8698264,4303195
1142,8698264,5965396
1143,8698264,5132688
1144,8698264,1353420
1145,8698264,6677164
1146,8698264,8268517
1147,8698264,3223948
1148,8698264,6418092
1149,8698264,4356468
1150,1874610,3393729
1151,1874610,9659856
1152,1874610,2157609
1153,1874610,2449597
1154,1874610,2116985
1155,1874610,6859693
1156,1874610,6480234
1157,1874610,4445414
1158,1874610,6260400
1159,1874610,9326722
1160,1874610,6128774
1161,1874610,1289636
1162,1874610,5460402
1163,1874610,6828173
1164,1874610,3335969
1165,1874610,2706382
1166,1874610,4741497
1167,1874610,5403487
1168,1874610,4303195
1169,1874610,6677164
1170,1874610,9031847
1171,6810004,5876745
1172,6810004,1570785
1173,6810004,9659856
1174,6810004,2157609
1175,6810004,1301156
1176,6810004,4865283
1177,6810004,5460402
1178,6810004,1427353
1179,6810004,5132688
1180,6810004,6677164
1181,6810004,8268517
1182,6810004,6418092
1183,5657406,5876745
1184,5657406,7635375
1185,5657406,7358008
1186,5657406,2449597
1187,5657406,3747072
1188,5657406,6544671
1189,5657406,6859693
1190,5657406,8584084
1191,5657406,9085992
1192,5657406,5582610
1193,5657406,5460402
1194,5657406,1545110
1195,5657406,1256084
1196,5657406,2706382
1197,5657406,6299956
1198,5657406,2625914
1199,5657406,3544111
1200,5657406,2045224
1201,5657406,4303195
1202,5657406,7891838
1203,5657406,1353420
1204,5657406,6677164
1205,5657406,8268517
1206,5657406,5471581
1207,5657406,2920966
1208,5657406,7317438
1209,5657406,9612606
1210,3272739,1446683
1211,3272739,5876745
1212,3272739,3393729
1213,3272739,7635375
1214,3272739,7358008
1215,3272739,2449597
1216,3272739,2116985
1217,3272739,3823531
1218,3272739,4747658
1219,3272739,1301156
1220,3272739,4445414
1221,3272739,1936377
1222,3272739,8847502
1223,3272739,3871556
1224,3272739,1289636
1225,3272739,5460402
1226,3272739,1545110
1227,3272739,1256084
1228,3272739,1427353
1229,3272739,2625914
1230,3272739,3544111
1231,3272739,5053937
1232,3272739,2045224
1233,3272739,9733001
1234,3272739,7891838
1235,3272739,9981895
1236,3272739,5471581
1237,3272739,2920966
1238,3272739,5815978
1239,3272739,5743434
1240,8285470,1446683
1241,8285470,3393729
1242,8285470,9659856
1243,8285470,2157609
1244,8285470,7358008
1245,8285470,2449597
1246,8285470,3747072
1247,8285470,6544671
1248,8285470,4747658
1249,8285470,4445414
1250,8285470,4865283
1251,8285470,9326722
1252,8285470,3871556
1253,8285470,1825969
1254,8285470,6828173
1255,8285470,3335969
1256,8285470,1427353
1257,8285470,2706382
1258,8285470,1385403
1259,8285470,5403487
1260,8285470,2069265
1261,8285470,9733001
1262,8285470,5132688
1263,8285470,6677164
1264,8285470,8268517
1265,8285470,3223948
1266,8285470,2920966
1267,8285470,7317438
1268,8285470,5743434
1269,3752343,5876745
1270,3752343,7635375
1271,3752343,7358008
1272,3752343,9444027
1273,3752343,6620713
1274,3752343,2116985
1275,3752343,1396671
1276,3752343,4445414
1277,3752343,8584084
1278,3752343,4865283
1279,3752343,8847502
1280,3752343,3871556
1281,3752343,9085992
1282,3752343,5460402
1283,3752343,6573559
1284,3752343,1256084
1285,3752343,3335969
1286,3752343,1427353
1287,3752343,4741497
1288,3752343,6299956
1289,3752343,2625914
1290,3752343,9733001
1291,3752343,7891838
1292,3752343,1353420
1293,3752343,2066437
1294,3752343,9981895
1295,3752343,3223948
1296,3752343,2920966
1297,3752343,7317438
1298,3752343,4356468
1299,2317841,5876745
1300,2317841,9659856
1301,2317841,2157609
1302,2317841,1396671
1303,2317841,4445414
1304,2317841,4865283
1305,2317841,1427353
1306,2317841,2706382
1307,2317841,1385403
1308,2317841,6299956
1309,2317841,5403487
1310,2317841,7891838
1311,2317841,6677164
1312,2317841,8268517
1313,2317841,9031847
1314,2317841,5471581
1315,2317841,2920966
1316,2317841,6017591
1317,2317841,5743434
1318,8258946,2449597
1319,8258946,6620713
1320,8258946,3823531
1321,8258946,6480234
1322,8258946,1301156
1323,8258946,4445414
1324,8258946,6260400
1325,8258946,5582610
1326,8258946,1825969
1327,8258946,6828173
1328,8258946,3335969
1329,8258946,1427353
1330,8258946,5053937
1331,8258946,9733001
1332,8258946,5132688
1333,8258946,6803121
1334,8258946,6677164
1335,8258946,8268517
1336,8258946,5471581
1337,8258946,5743434
1338,2984078,1446683
1339,2984078,9659856
1340,2984078,6300454
1341,2984078,5262646
1342,2984078,6544671
1343,2984078,1396671
1344,2984078,6480234
1345,2984078,5582610
1346,2984078,6828173
1347,2984078,1427353
1348,2984078,1385403
1349,2984078,5403487
1350,2984078,2069265
1351,2984078,5965396
1352,2984078,7891838
1353,2984078,8268517
1354,2984078,9031847
1355,2984078,6418092
1356,2984078,5815978
1357,2984078,4356468
1358,7121304,3393729
1359,7121304,7358008
1360,7121304,3747072
1361,7121304,2116985
